feature_1,feature_2,target
-0.32690181007937513,0.381943502558678,1
0.4825771845347028,-0.06424597154803993,1
-0.36045917117175397,0.93904870992754,0
-0.47928159862227143,-0.09974900610584903,1
0.7134848916723269,-0.6997594979604832,0
-0.1398863960844157,-0.9882404222514409,0
-0.34055768367302636,0.3567584246132046,1
0.38013241493772726,0.3172928950549963,1
0.017367045575185903,0.4840094650779757,1
0.3011783486818221,0.9478420361319263,0
-0.4947788396450285,-0.034123351665442545,1
0.6213868748121076,-0.7831322754696781,0
0.07828830339540135,-0.48715401582696716,1
0.428243707329844,0.9136613790009028,0
0.49601879007421856,-0.10886732893577743,1
0.9810425095678754,-0.07492248925862034,0
0.9373464444617017,0.35315264875343905,0
-0.5876772296996955,0.8048488678091061,0
0.9130815715302104,-0.4062246769001461,0
0.8864937696174628,0.4901658999081214,0
0.3317684374395737,0.36563257541444294,1
0.47290448720000045,0.10751579007166563,1
0.3161203365929182,-0.3976584158815893,1
0.4733635048405292,-0.0956777126159806,1
0.4325003043384516,-0.25368776582042535,1
0.7711851018904928,-0.6657960865447421,0
-0.279864057488837,0.4198858413777642,1
-0.3131928178827896,0.40610018009988,1
0.04951685913714536,0.49737743549509617,1
0.4887943746718133,-0.8710694447232896,0
0.04795464664578436,0.9932364868728791,0
-0.22533188481309246,0.9673500743088516,0
-0.4642887869067771,-0.20642084306203923,1
-0.08515378003203655,-0.4876207881722508,1
0.1574339837823532,0.9764814846330975,0
-0.440480814587622,-0.8940074366112778,0
-0.13024387884518404,0.4940642714045324,1
0.0033133570572201772,0.4884588107958924,1
-0.13783394885389877,-0.4828734556638129,1
0.13566969858947445,-0.49629387868134367,1
-0.7036461909716791,0.6989846776673708,0
0.3671109123180822,-0.35012564459015494,1
-0.027485414577064424,1.0107334460903545,0
0.02068742329767393,-0.4991417935666587,1
-0.03745791636348501,0.5038224159272389,1
-0.4075731187143645,0.25812953535913036,1
-0.07385359382076695,-1.0040610872649378,0
0.9631359434573497,-0.2567842511751157,0
-0.4166204705657363,0.2398624633340871,1
0.13512372063313208,-0.9975351170661795,0
0.3299107521344603,0.3829534282020194,1
-0.44406328626600755,-0.2443377625685378,1
0.046713284733990425,-0.5096153620653064,1
0.9849420674309116,-0.1286449607729425,0
0.20449029320087023,0.9646956400494804,0
-0.4356581444155188,-0.2744862181992902,1
0.07263154313164069,-0.9976969046148553,0
0.008723752880182617,-0.5057251417061599,1
0.7519564840595621,-0.6719074706037856,0
0.7284975175506654,0.6819096885646228,0
0.4132062668756989,-0.28489329681641323,1
-0.3481330711759831,-0.9536157858394273,0
0.32972384109148734,0.3894963720701605,1
0.9508511664794806,-0.32737484278953594,0
0.38193259727654905,-0.9249888020863688,0
0.00751523014294877,1.0046093758681336,0
0.44462935864691044,0.20235772069265515,1
-0.5006222135882443,0.04314448994515198,1
-0.5064566360225141,0.8883083790055163,0
0.5524547798916736,0.823469948681551,0
-0.500893541159974,-0.05402931837531959,1
0.08017397763216787,-0.4811396280425905,1
0.1370836475346168,0.4789310744120164,1
-0.9758069041077905,-0.2099630255403759,0
-0.4168703420426298,-0.9219213893408882,0
0.24069355996494893,0.4507286378320249,1
0.9846314270831219,-0.022626139863413643,0
-0.9450724496445061,0.37696793593261285,0
-0.9769988562178248,-0.2545924717705134,0
-0.8156405792078745,0.5734796116709147,0
