x0,x1,x2,x3,x4,y
-3.470997420753042,2.441573873907101,2.395547240364419,-0.8837384566869592,-2.3286669907191264,0
-3.0195672965112044,1.614204367966144,2.7826297465179683,-1.3892623624188138,-3.7225918592378795,0
-3.015537135910975,1.9618600098315357,2.1837148028160573,-0.8215701503411864,-3.7458772447786415,0
-2.217243483871518,1.7264386661106998,1.615294667240538,-1.9794038333195276,-2.497668197533474,0
-3.34923885184958,1.833703322996326,1.1830359821580012,-0.7001807974896618,-2.559107047600718,0
-2.006175085520402,2.3154007370746283,2.7608463031802413,0.22543216386462062,-1.319717327908919,0
-4.063521149838827,1.7089050271196697,3.52981244071874,-0.38378801023897413,-3.708520489617624,0
-5.112393471729687,1.5383925638318905,1.1583714142292543,-0.7640292902062085,-4.21563021526569,0
-3.2462547687613177,1.7147497919129318,3.127650262706094,-1.1113739617295626,-3.406711771473746,0
-3.5281189642084456,2.0252517932603062,1.5847581958590746,-2.1124736842531346,-1.9553581041434804,0
-2.3339619802710514,1.8995844320190889,2.5763968091477785,-1.2801855408986682,-3.1892874689049306,0
-3.0598868618960577,2.2217164979966166,1.870814227309372,-0.8212291672163888,-3.4537275894711024,0
-3.4656461317064307,0.11922858057949548,2.1407324098311777,-2.2769283503755817,-4.250585969225288,0
-2.901825845313238,1.3020869978066247,3.230676439304727,-1.6695780725817764,-3.872973647841195,0
-3.3719673893058597,1.0630385958026662,2.913705153906993,-2.163092598366343,-3.1890028517412397,0
-2.9974282130360064,1.5043673576836185,2.453635421492801,-0.2539528060144809,-4.056579440203124,0
-1.6358078848937798,2.175639801284164,2.2088805466676966,-2.2155594997543155,-3.1978905293842423,0
-2.143405629359105,0.9343712268495942,2.0334282340895595,-2.0733023021841714,-3.9876085632959892,0
-3.205933870574192,1.0530644834439709,2.530501442659878,-2.362375121440861,-2.620016254564306,0
-1.7183220496676685,2.479900343242694,4.204490173114841,-0.6390092324350861,-2.776275634613969,0
-2.418456732120147,1.6307183264826572,2.4159859818475353,-1.6121871508606465,-3.500056016622443,0
-3.0101411671848175,1.8061708731030393,2.280613616016362,-0.9997117703432729,-3.406325306496954,0
-2.939509605487322,3.360799418414529,1.8575936595427534,0.6855208520291327,-3.184867833882147,0
-3.440852163683594,1.9212471999392848,2.2287489856638922,-0.37299044658311864,-3.347302968368751,0
-2.6382379990157303,1.734655775314813,2.016834841221951,-1.6094939183749588,-2.7696607001045166,0
-3.463845219076365,1.8552668844414775,2.4108986004526525,-1.5171636177833043,-3.0132637035872873,0
