PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC,dataset,firstQuartileCorrelation,firstQuartileCovariance,firstQuartileEntropy,firstQuartileKurtosis,firstQuartileSkewness,logNumberOfInstances,maxCorrelation,maxCovariance,maxEntropy,maxKurtosis,maxSkewness,meanCorrelation,meanCovariance,meanEntropy,meanKurtosis,meanSkewness,medianCorrelation,medianCovariance,medianEntropy,medianKurtosis,medianSkewness,minCorrelation,minCovariance,minEntropy,minKurtosis,minSkewness,missingValuesRatio,numberOfInstances,numberOfMissingValues,sparsity,sparsityOnNumericColumns,thirdQuartileCorrelation,thirdQuartileCovariance,thirdQuartileEntropy,thirdQuartileKurtosis,thirdQuartileSkewness
0.890625,-1.922961750215226,0.0040002901782576,g2-128-80.csv,0.2699284720165502,2393.0780430055,,-0.2263163856830052,-0.0288846848757511,7.624130585661289,0.3523118169584069,9560.31847526433,,0.0584602829194915,0.1175461489339923,0.2831157751936891,2569.26599655393,,-0.1617843026541393,0.0020034859446321,0.2830704888409717,2519.0858266705054,,-0.1553722930343926,0.0087539127862905,0.1711013541723278,1572.2689666732088,,-0.3850141123824522,-0.1437340215374031,0.0,2047.0,0,0.0,0.0,0.2964717941555306,2651.1280197017213,,-0.0965092339714933,0.0380725599298342
1.0,-0.7053209064618038,0.1582254276608238,s3.csv,0.3831538679823532,10580875988.921652,,-0.9815941768299692,0.2482709554343054,8.184513753033722,0.3831538679823532,27969852601.43912,,-0.935390574425031,0.2524330347095216,0.3831538679823532,19099169047.564613,,-0.9661929760283232,0.2496583151927108,0.3831538679823532,18922973799.94884,,-0.9661929760283232,0.2496583151927108,0.3831538679823532,10580875988.921652,,-0.9969953776316154,0.2468835956759,0.0,3585.0,0,0.0,0.0,0.3831538679823532,27441266858.5918,,-0.9507917752266772,0.2510456749511163
0.9375,-1.4156503772727362,-0.002905296191202,g2-16-90.csv,0.2179999597861002,2230.919651147955,,-0.1756610126225236,-0.0584099733771466,7.59488438721652,0.2826856421257667,10802.509197864589,,0.035913062276907,0.0902158551013904,0.2301474909112401,2857.8507722651884,,-0.1247357247488444,-0.020404816699454,0.2320276556694487,2393.354455368345,,-0.1402512598885703,-0.0190605083213554,0.1648917737264945,1659.9230202554024,,-0.2612196058188809,-0.1491373737851856,0.0,1988.0,0,0.0,0.0,0.2435366012790284,2556.830399989267,,-0.0785674649822385,0.0115330478556029
0.9375,-1.3374617034975047,-0.0097645635577415,g2-16-100.csv,0.1921602150539745,2376.922454141149,,-0.2124658363016084,-0.0811864246562348,7.597897950521784,0.2438036142477,12752.413506450112,,0.2477119426125398,0.0967766843998593,0.2033355263098308,3121.9927146209466,,-0.0978330195280899,-0.0346450939781589,0.2051268511847122,2539.7596081017764,,-0.1016968921129457,-0.040599669584867,0.149586277453533,1862.161940412305,,-0.2888574559596049,-0.1363136113892628,0.0,1994.0,0,0.0,0.0,0.2159220423260031,2680.8047256420546,,-0.0597742500399876,0.0049401035458506
1.0,-1.0184541411313253,-0.0854443848468159,a2.csv,0.0556265671631607,5420693.032917749,,-0.9602589799999914,-0.0690889080346987,7.830425617820331,0.0556265671631607,176103488.3691648,,-0.7538625190076158,-0.0675306125607907,0.0556265671631607,60217064.98615539,,-0.8914601596691996,-0.0685694762100627,0.0556265671631607,29672039.271269523,,-0.8914601596691996,-0.0685694762100627,0.0556265671631607,5420693.032917749,,-1.029057800330783,-0.0696083398593347,0.0,2516.0,0,0.0,0.0,0.0556265671631607,84468411.22450717,,-0.8226613393384077,-0.0680500443854267
0.787109375,-1.9892265720164848,0.001020952960126,g2-512-60.csv,0.4014618617225653,2432.096170527788,,-0.3950247750366442,-0.0228334981677881,7.624130585661289,0.6564219651848847,6550.422151292141,,-0.0973482122066844,0.1108217723013922,0.4111189162680599,2513.744599034065,,-0.3444531398860398,0.0008359866836612,0.4112220498819637,2508.0130168078504,,-0.3465559628954671,0.0025059386486473,0.0331641287765685,200.99259317094229,,-0.5523114284839119,-0.1364883314630592,0.0,2047.0,0,0.0,0.0,0.4209245617093408,2582.8527993305893,,-0.2954946620528199,0.0261022667175963
0.875,-1.9192606197508064,-0.0015355821100954,g2-32-40.csv,0.6020189325440843,2438.1814047684484,,-0.767977571030523,-0.0226046608686399,7.620214770574455,0.6468858946707953,4230.231158262748,,-0.652089457164994,0.0675236126384271,0.6097642082746089,2527.8457249485814,,-0.7436615250380159,-0.0039231682810685,0.6101814433900553,2480.1268299321227,,-0.7458377461088135,-0.0128530044322566,0.5748473119777003,2275.076493412798,,-0.827793440065884,-0.0630399861383852,0.0,2039.0,0,0.0,0.0,0.6170332501567413,2527.025269210648,,-0.7209860419293092,0.0245921131022543
0.76171875,-1.9927519984496609,-0.0009813660901866,g2-512-50.csv,0.4917355237964445,2437.291313170312,,-0.546947547495877,-0.0253080725525024,7.624130585661289,0.7064019684017402,5502.535752437465,,-0.3055466435458212,0.1303957267483757,0.4999822447910838,2504.234154351812,,-0.5005506216912599,0.0019441094712257,0.5000842622151541,2499.308005755269,,-0.5072692580024607,0.0019787656236354,0.3152950118164737,1607.4811936596532,,-0.6676748540231725,-0.1092516467216929,0.0,2047.0,0,0.0,0.0,0.5083793350457857,2562.4482940249204,,-0.4534291545845696,0.0292792621148371
0.90625,-1.7810103044100123,-0.0057685780918825,g2-32-70.csv,0.3273413725605308,2411.501499947021,,-0.3007720998511847,-0.0120246727036835,7.615298339825815,0.3996112505167457,7764.71866223779,,-0.1252139763838995,0.1579603664057146,0.3406033533760118,2667.843357670696,,-0.2513264363181605,0.0173715241714444,0.3413078245525024,2524.157622511065,,-0.2578012954463033,0.0127058895004827,0.2898502637276273,2048.943980429726,,-0.4096276319705216,-0.0810675932904277,0.0,2029.0,0,0.0,0.0,0.352618069601008,2628.268484441088,,-0.1895429346301038,0.0363785528608953
0.5714285714285714,-1.1244957545745464,-0.2721053864368388,dim7.csv,-0.408343194025375,-2546485092.5727186,,-0.9453409072263586,-0.117159940154515,7.841099765422119,0.6265216161241987,54798569809.024506,,1.9252034705354093,1.0589463244523003,-0.0698530342621041,2603210045.4202013,,-0.5268424851269612,0.1551088077640132,-0.0866193729023904,-394970771.9600497,,-0.8376329341625448,0.0469244890347816,-0.5949795894012109,-16989351534.682508,,-1.3450648980980295,-0.2879501047398787,0.0,2543.0,0,0.0,0.0,0.1453053716375923,4451945813.191688,,-0.769860609855423,0.2510804129549595
0.4545454545454545,-1.011432747974745,0.4955210530817451,dim11.csv,-0.2397171605482778,-3593639376.145594,,-0.9112280578614712,-0.1640175338899523,8.300776960851454,0.7780088116664052,50440517122.29614,,5.998354976793056,1.477620373317114,0.0922237430727215,5240175356.431391,,0.1158631306295014,0.4198463773890513,0.0928426997440358,1795510499.9341414,,-0.3889075235283923,0.1810092419202349,-0.722088389909724,-31462965760.205105,,-1.165172012406519,-0.3520575203405747,0.0,4027.0,0,0.0,0.0,0.4992029084521204,12559172397.043003,,-0.1372010689995848,1.1222967662953351
1.0,-1.047311415414424,0.0089414542599035,g2-2-60.csv,0.4498599231315572,1728.9083005003126,,-0.8771244118371856,-0.0124135102060228,7.377758908227872,0.4498599231315572,3916.986677611006,,-0.8689436390073748,-0.0053384162931399,0.4498599231315572,2786.4088868042527,,-0.874397487560582,-0.0100551455683952,0.4498599231315572,2749.870284552846,,-0.874397487560582,-0.0100551455683952,0.4498599231315572,1728.9083005003126,,-0.8798513361137892,-0.0147718748436505,0.0,1600.0,0,0.0,0.0,0.4498599231315572,3807.370870856786,,-0.8716705632839784,-0.0076967809307676
0.81640625,-1.984465154338057,0.0011855429162076,g2-256-50.csv,0.4909473567691174,2438.6143078395726,,-0.549867129680516,-0.0218940656726736,7.624130585661289,0.6136803913794124,5363.04513961017,,-0.306546156794826,0.111206282097428,0.5001746502802974,2511.707524080015,,-0.4989432630967084,0.0023231128024184,0.5003069463326473,2502.635638258501,,-0.497875011784427,-0.0041055843918968,0.2838666696350981,1420.041832192738,,-0.6912913845345177,-0.0885635288389778,0.0,2047.0,0,0.0,0.0,0.5095292532704592,2566.0937601625724,,-0.4481034988035198,0.0301632677175111
0.828125,-1.9751851635302728,0.0011869658278119,g2-512-90.csv,0.2255554051832759,2378.1564858880824,,-0.1780181813812011,-0.0322376488209158,7.624130585661289,0.4571044836466817,11980.278964853796,,0.2675411140473409,0.1296865726113934,0.2365350946725118,2524.856746807323,,-0.1181873478346505,-0.0007143454488801,0.2367346963690059,2510.11546365685,,-0.119903286048622,0.0007082815356049,-0.1081345547636238,-1110.4018263858943,,-0.4124023271246706,-0.1488082925823493,0.0,2047.0,0,0.0,0.0,0.2476917958133268,2641.770566300921,,-0.0517266686449283,0.0309612662776998
0.5555555555555556,-0.5409627131509187,0.5091263992607963,dim9.csv,-0.2506228615932181,-3917178539.0293546,,-1.29048441503237,-0.6692629418612106,8.064950891749143,0.6136672610059776,75539561329.16301,,1.2713599981499666,0.7210242169920761,-0.0388149788429677,5606215719.301295,,-0.2992233127598067,-0.4123410846689165,-0.0593259167513854,578994631.4692135,,-0.2877009768588152,-0.441855228427863,-0.692182910353096,-22438608717.5036,,-1.474720707997399,-1.5950560689863855,0.0,3181.0,0,0.0,0.0,0.199812061942956,11628103726.137451,,0.6349903374260935,0.1535249374584354
0.5,-1.9573079751008453,-0.0031101264375645,g2-2-10.csv,0.9803646258541512,2476.560055322685,,-1.9217513766234235,-0.0040829307313018,7.283448228756631,0.9803646258541512,2535.572083758166,,-1.9158892446672855,0.000149450644025,0.9803646258541512,2501.3698556276204,,-1.919797332638044,-0.0026721369395261,0.9803646258541512,2496.673641714815,,-1.919797332638044,-0.0026721369395261,0.9803646258541512,2476.560055322685,,-1.923705420608803,-0.0054937245230774,0.0,1456.0,0,0.0,0.0,0.9803646258541512,2521.4834420197503,,-1.917843288652665,-0.0012613431477505
1.0,-1.0421202861513958,-0.0129034241707371,g2-8-90.csv,0.2225653782552734,2168.90869348958,,-0.1697533671776755,0.0222674838466234,7.535296702444088,0.2656086424220212,9992.73914796866,,-0.0172599962033439,0.1103703119669984,0.232023282452464,3171.499401391399,,-0.1188063158097623,0.0466255413770416,0.2309243389021998,2252.4675028007086,,-0.1239185182669648,0.0335567545196217,0.1986875653636994,1947.07533562866,,-0.2219428793876425,-0.0178490433194783,0.0,1873.0,0,0.0,0.0,0.2412056216869229,2393.440527160595,,-0.0681545724263523,0.0731078678904398
0.001953125,-1.9996867785472063,0.0019520722710684,g2-512-10.csv,0.9608551153411242,2491.722360942814,,-1.852460579048952,-0.0044711666130272,7.6236419465115715,0.9749392970276024,2661.070062642355,,-1.830068776032796,0.0123254352815651,0.9615628688986864,2502.9174296177284,,-1.8491971086784489,-0.0019859385341733,0.961601602775502,2502.586362202353,,-1.849478953036999,-0.0020277346536894,0.9433061621946172,2434.3342783462044,,-1.8624291929909709,-0.0126076896121427,0.0,2046.0,0,0.0,0.0,0.9623096473743592,2513.706971620934,,-1.846124247395472,0.0004300297891245
1.0,-0.9548459500683149,-0.0114663074301158,g2-4-80.csv,0.2717307241935165,1865.0211786012228,,-0.5310159066605955,0.000218881203918,7.430114138561801,0.2941025978128538,7220.511979964166,,-0.3864457534594607,0.0154608321998818,0.2778286708477352,3130.79453229775,,-0.4940908666124487,0.0028544505946845,0.2811248498479689,1952.282685829541,,-0.4721500053939014,0.0090175438046113,0.2525097215341868,1706.4913724827604,,-0.6456177022025313,-0.0220781174303664,0.0,1686.0,0,0.0,0.0,0.2863792818499162,3192.3499436800184,,-0.4352249653457546,0.0116531131953777
